URL,Label
"'secure-runescape-services-forumslogin.tk/m=forum/forums.ws17,18,810,63120405'",bad
www.snaplog.com.br/movieCentro/src/utils/indexx/PP_MultiLanguage/Pay_EN.php?cmd=_login&dispatch=5885d80a13c0db1f8e263663d3faee8d4b3d02051cb40a5393d96fec50118c72,bad
fish-west.co.uk/media/cgi-bin/ca/,bad
www.klvphoto.com/~projecti/us/info1.php,bad
www.borbeycontractors.com/images/ma/paypal.fr/paypal.fr/webscr.php?cmd=_login-run&dispatch=5885d80a13c0db1f998ca054efbdf2c29878a435fe324eec2511727fbf3e9efc374b1939d7ac918ffc682be71709400f374b1939d7ac918ffc682be71709400f,bad
www.hhindustry.com/bux2/archive/index.php,bad
rcsinstitutions.com/css/,bad
'anupamnavsari.com/Remax/Secure Login.html',bad
"'stroim31.ru/downloads/accont.aol/aolaccountupdate/w8ejdd-wdjdw7shd,waolsje7w2642/'",bad
pastehtml.com/view/bc9ctf9bc.html,bad
txellwebs.com/blog/wp-content/scap/bf7fd005d8cc6f7a3364cfb9601fa3d9/webscr.html?amp;amp;dispatch=5885d80a13c0db1f998ca054efbdf2c29878a435fe324eec2511727fbf3e9efc660a2d7677811f7668cda7169a65293b660a2d7677811f7668cda7169a65293b&amp;amp;cmd=_login-run,bad
cadastrocartaoamigo.orgfree.com/logins/cartaoamigo/cadastro/index.php,bad
mail.eastepgolf.com/komen/plugin/date/us/cgi-bin/webscr/cmd=_login-run/SESSION=tCq-i8apWeVdgLT-mS8AxmuT2OvaMNdj4eZGnuvJPfIZh2fkMOzHIHqHRvK/online/Paypal/,bad
www.sexymalaysia.com/assets/bbva/compass.htm,bad
pastehtml.com/view/bbwjkyyzb.html,bad
servicecenters.x10.mx/,bad
paulgolding.us/img/icons/tabs/20.20/20.20.20.20/pbs-nets.dk-Opret-din-kode-Verified-by-Visa/https:www.nets.eu/securi/,bad
customersupport1.cwahi.net/login.htm,bad
www.cmu1h.com/dll/index.htm?ref=http/::us.battle.net:d3:en:index,bad
grande-randonnee.fr/RequetesMySQL/verification/loggedin/verified/b5213bf3f83fff145ecd64f0285ee92c/,bad
www.egw-wangen.ch/typo3temp/?rover.ebay.com/rover/0/e11050.m43.l1123/7,bad
pastehtml.com/view/b9klk8zyx.html,bad
www.erzurumsarkinsaat.com.tr/templates/villa/images/procedimento/index.php,bad
'us.battle.ne-wow-eu-com.d3-account.net/battle_net_account.php?ref=https\%3A\%2F\%2Fus.battle.net\%2Faccount\%2Fmanagement\%2Findex.xml&amp;app=bam',bad
www.murciatoros.com/tmp/paypal/cgi-bin/webscrcmd.login-processing/cmdverification.creditcard-/198.245.157.263/webscr.php?cmd=_login-run&dispatch=5885d80a13c0db1f998ca054efbdf2c29878a435fe324eec2511727fbf3e9efc642949ad93bff9eec5bdce64de6457c4642949ad93bff9eec5bdce64de6457c4/,bad
paypal.com.us.cgi-bin.webscr-cmd.login-run.dispatch.5885d80a13c0db1f8e263663d3faee8d43b1bb6ca6ed6aee8d43b16cv27.pagkainatkita.com/payus/reboot.php,bad
mirandahomes.com/blog/wp-content/themes/twentyten/remax/,bad
fluchinfos.com/manageaccounts&jsupein=europ_land&and=349034902hjks138934fpug1rxyc9a73sj-serv-Einloggen&sessions&jseuropfindreupdat&&serv/metacc=deload-62450399/websrc.php?session.start,bad
www.hospitaldansugeri.com/,bad
'login.paypal.com.ummiecollections.com/Nouveau\%20dossier/webscr.htm?cmd=_login-run&dispatch=5885d80a13c0db1f998ca054efbdf2c29878a435fe324eec2511727fbf3e9efcd8',bad
www.stadtbetriebe-ahrensburg.de/abwasser/archiv/2004/10/3/abwassergebuhren-2004/www.paypal.co.uk/login/ipoi/confirm.htm?cmd_submitaccess0023044-submit=data_refund,bad
my.screenname.aol.comcqrloginlogin.pspsitedomainsns.webmail.aol.com.lang.acreativestudio.in/Billing/Billing/update.html,bad
digilander.libero.it/segreti1969/,bad
pastehtml.com/view/bfv7i0cau.html,bad
www.thinkingdimensions.com.au/~anderson/fr/1/fr/undispatch=fr5885d80a13c0db1fb6947b0aeae66fdbfb211992745955/erreur.htm?cmd=_error_login-run&dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af436580c63a156ebffe89e7779ac84ebf634880c63a156ebffe89e7779ac84ebf6348,bad
xpd21dcxd.blogspot.com/,bad
pacc7dni.w.interia.pl/,bad
columbiahomesnw.com//wp-content/uploads/2011/09/pichincha/pichincha.html,bad
www.win8beta.net/wp-content/plugins/WPRobot3/tinymce/langs/?/bankofamerica/update/index.php,bad
gammara.com/img/online/index.htm,bad
joenboen.com/old_aol.1.3country/?Login=&amp;Lis=10&amp;LigertID=1993745&amp;us=1,bad
hlanz.org/billing/system/info/update/webscr/screaming/0949bc31449fd95b0e1becce7bb7c914/,bad
eiiaioiiu.altervista.org/,bad
pastehtml.com/view/beyklk6mf.html,bad
pastehtml.com/view/be8merx2x.html,bad
jan-phillipp.de/wordpress/wp-content/plugins/4623317048/241250503/,bad
miansoft.net/images/dada.html,bad
pastehtml.com/view/beopqddqk.html,bad
shirtworks-co.com/wp-content/uploads/2012/09/Paypal/login.php,bad
pavilionsmotel.com/logs/www.paypal.com/,bad
www.cielofidelidadepromocao2011.xpg.com.br/,bad
www.quocvietthuphap.com:82/images//a.htm,bad
mojavelofts.com/del/,bad
paypal.com.cgibin.webscr.cmdlogin.submit.dispatch.5885d80a13c0db1f8e263663d3faee8d7283e7f0184a5674430f290db9.domainzapper.com/pp/,bad
pastehtml.com/view/bb87pjcjm.html,bad
www.jawamusafaris.com/includes/js/tabs/tom01.php?AuthEventSource=SSO#inbox/137e433453343398,bad
radenroro.com/blog/wp-content/uploads/2009/10/2012/ab7c75f7e17f2df3cf0136a8c373acb5/go/,bad
pornfortouch.com/wp-admin/includes/Redirect.php,bad
bit.ly/Tq6bg0,bad
www.pancerni.com.pl/administrator/templates/khepri/images/plugins.php?plugins.jpg,bad
www.craigslistofproperties.com/registrationwallsignin/?KeepThis=true&amp;width=536&amp;height=200&amp;TB_iframe=true&amp;modal=true,bad
spreadsheets.google.com/spreadsheet/formResponse?formkey=dFo2c1l0U2ZvdmpjclM0NnpqWkVfU0E6MQ&amp;theme=0AX42CRMsmRFbUy01ZDc3NWRkZC1mYWQzLTQxYzItYTQ2Yy05OGFmMDE1NGY4ZjY&amp;embedded=true&amp;embedded=true&amp;ifq,bad
service.runescape.com.w-eblogns.tk/m=weblogin/loginform.ws?dest=2147483448&amp;mod=forum&amp;ssl=0,bad
ok.hhok.asia/login/en/login.html,bad
remax.elpstore.com/,bad
vzturl.com/ib63,bad
pastehtml.com/view/bef2sqbm1.html,bad
djcaso.com/media/indexxx.html,bad
paypal.simply-winspace.it/paypal/77c8f8a6ca43d7c15bd362bb16c36674/login.php,bad
tibia3pacc.w.interia.pl/,bad
www.sheqjobs.com/blog/Trade,bad
racinex.net/images/Paypal.it/forms/windhoek_tours/,bad
www.omine.fr/images/old/cielo.com.br/cadastro/cadastro.php,bad
paypel.com-us.sg.cgi.bin.webscr.cmd-p.gen.ua-outside.fe-mhgon4dpsbvr7d1pw7mecazmkgq3zfihr7ie4dkjdfmsfdfvkd.animalia.cl/href/secure/center/update/limit/seccure/2a0041d49e7e7e802bf2f9e3f8db04a5/,bad
pastehtml.com/view/bfsw7zzrf.html,bad
www.billing.obunshabluegrassenglishandculture.com/get/web/panel/from/login/payment_debit_card.jsp.htm,bad
www.austinpcc.org/scripts/tinymce/jscripts/tiny_mce/plugins/filemanager/files/templates/cgi-bin/ff0293ed515218d2ec7c2381284b03a6/Confirm.php?cmd=_login-run&dispatch=5885d80a13c0db1f998ca054efbdf2c29878a435fe324eec2511727fbf3e9efcd8,bad
magiarustica.com//base1/insertsql.php,bad
impuls-flora.by/libraries/walls/ntasa/9699232cb0b2615ad40bd860f1ddb872/polc.html?d80a13c0db1f8e263663d3faee8d9384d85353843a619606282818e091d0298097f08379415fad8ce5e93786b200298097f08379415fad8ce5e93786b200,bad
elegantembedded.com/wp-service/confirmation/it/Processing1.php?cmd=_Processing&dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af4365139404c0b4e8952ca3bf3a6fb6225dc6139404c0b4e8952ca3bf3a6fb6225dc6,bad
sparesbox-cm.com/plugins/system/legacy/sec-fr/errer.php?cmd=_error_login-run&dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af436580c63a156ebffe89e7779ac84ebf634880c63a156ebffe89e7779ac84ebf6348,bad
remax.com.jpginnovations.com/remax/index.htm,bad
pontos-da-tamfidelidade.net.tc/,bad
cfvgh.ias3.com/index.html,bad
portalritissima.com.br/wp-includes/images/crystal/service.php,bad
ceneval.ituem.com/Sql~/Atualizacao/OnlineBradesco/index.php,bad
www.zzjixiang.com/images/?ref=us.battle.net/d3/en/index,bad
bancoestado700.blogspot.com/,bad
